,DatafileName,Xcenter,Ycenter,MaxInt,Peaks,S
113,001_013.dat,522.39,507.16,11451.0,1,3.05
114,001_014.dat,522.37,507.08,11509.0,1,3.05
115,001_015.dat,522.39,507.09,11509.0,1,3.04
116,001_016.dat,522.29,507.16,11515.0,1,3.03
117,001_017.dat,522.31,507.1,11503.0,1,3.03
118,001_018.dat,522.37,507.13,11511.0,1,3.02
119,001_019.dat,522.39,507.11,11526.0,1,3.0
120,001_020.dat,522.38,507.16,11474.0,1,3.01
121,001_021.dat,522.33,507.13,11550.0,1,3.01
122,001_022.dat,522.32,507.1,11446.0,1,2.99
123,001_023.dat,522.27,507.07,11504.0,1,3.01
124,001_024.dat,522.4,507.03,11475.0,1,3.04
125,001_025.dat,522.35,507.08,11588.0,1,3.0
126,001_026.dat,522.4,507.1,11477.0,1,3.04
127,001_027.dat,522.35,507.08,11548.0,1,3.01
128,001_028.dat,522.34,507.15,11472.0,1,3.02
129,001_029.dat,522.44,507.07,11530.0,1,3.04
130,001_030.dat,522.34,507.13,11501.0,1,3.02
131,001_031.dat,522.35,507.09,11559.0,1,3.03
132,001_032.dat,522.42,507.12,11493.0,1,3.04
133,001_033.dat,522.31,507.05,11535.0,1,3.03
134,001_034.dat,522.36,507.08,11507.0,1,2.99
135,001_035.dat,522.44,507.08,11587.0,1,3.03
136,001_036.dat,522.45,507.06,11470.0,1,3.07
137,001_037.dat,522.35,507.08,11446.0,1,3.06
138,001_038.dat,522.44,507.06,11432.0,1,3.07
139,001_039.dat,522.4,507.21,11531.0,1,3.08
140,001_040.dat,522.45,507.12,11574.0,1,3.1
141,001_041.dat,522.4,507.05,11481.0,1,3.04
142,001_042.dat,522.43,507.11,11445.0,1,3.09
143,001_043.dat,522.41,506.99,11534.0,1,3.05
144,001_044.dat,522.39,507.04,11505.0,1,3.05
145,001_045.dat,522.4,507.04,11523.0,1,3.08
146,001_046.dat,522.4,507.2,11534.0,1,3.07
147,001_047.dat,522.42,507.13,11542.0,1,3.06
148,001_048.dat,522.37,507.1,11499.0,1,3.05
149,001_049.dat,521.41,506.23,7418.0,13,3.99
150,001_050.dat,521.46,501.39,2442.0,8,4.56
151,001_051.dat,523.06,506.45,914.0,5,4.51
152,001_052.dat,520.66,509.23,2008.0,4,4.54
153,001_053.dat,520.17,504.15,758.0,4,4.48
154,001_054.dat,523.77,507.14,248.0,2,4.38
155,001_055.dat,519.3,506.69,1320.0,2,4.55
156,001_056.dat,523.32,508.01,767.0,4,4.56
157,001_057.dat,521.45,508.53,256.0,1,4.46
158,001_058.dat,523.9,509.38,261.0,3,4.48
159,001_059.dat,526.01,510.4,655.0,11,4.53
160,001_060.dat,527.96,510.62,1638.0,7,4.55
161,001_061.dat,525.53,510.75,10057.0,8,4.03
162,001_062.dat,522.26,506.9,11547.0,2,2.97
163,001_063.dat,522.32,506.92,11557.0,1,2.98
164,001_064.dat,522.34,506.96,11616.0,1,2.95
165,001_065.dat,522.24,506.96,11546.0,1,2.98
166,001_066.dat,522.32,506.91,11539.0,1,2.98
167,001_067.dat,522.36,506.94,11484.0,1,3.0
168,001_068.dat,522.33,506.97,11552.0,1,2.95
169,001_069.dat,522.39,506.97,11519.0,1,2.96
170,001_070.dat,522.37,506.92,11532.0,1,2.95
171,001_071.dat,522.37,506.87,11495.0,1,3.0
172,001_072.dat,522.36,506.94,11506.0,1,3.0
173,001_073.dat,522.38,506.93,11529.0,2,3.0
174,001_074.dat,522.38,506.98,11537.0,1,3.02
175,001_075.dat,522.35,507.01,11566.0,1,3.0
176,001_076.dat,522.37,506.96,11549.0,1,3.03
177,001_077.dat,522.39,506.98,11526.0,1,3.01
178,001_078.dat,522.44,507.05,11507.0,1,3.01
179,001_079.dat,522.4,507.05,11634.0,1,3.0
180,001_080.dat,522.32,506.92,11496.0,1,3.01
181,001_081.dat,522.39,507.03,11527.0,1,3.03
182,001_082.dat,522.37,506.93,11506.0,1,3.01
183,001_083.dat,522.53,506.99,11436.0,1,3.06
184,001_084.dat,522.38,506.94,11485.0,1,3.05
185,001_085.dat,524.82,506.55,10911.0,6,3.57
186,001_086.dat,524.3,504.4,8382.0,5,4.05
187,001_087.dat,525.15,507.62,3149.0,6,4.51
188,001_088.dat,521.92,502.78,1198.0,8,4.56
189,001_089.dat,522.84,503.48,1283.0,5,4.56
190,001_090.dat,520.57,506.39,441.0,1,4.4
191,001_091.dat,523.56,507.77,471.0,2,4.46
192,001_092.dat,522.51,507.41,231.0,2,4.39
193,001_093.dat,526.5,507.99,1137.0,1,4.47
194,001_094.dat,523.21,505.66,161.0,1,4.28
195,001_095.dat,523.76,509.51,426.0,5,4.55
196,001_096.dat,522.36,508.92,1203.0,8,4.53
197,001_097.dat,521.83,505.3,1865.0,12,4.48
198,001_098.dat,522.06,507.42,1906.0,12,4.49
199,001_099.dat,521.07,506.03,4146.0,9,4.41
200,002_000.dat,522.4,507.26,11505.0,1,3.13
201,002_001.dat,522.4,507.28,11415.0,1,3.07
202,002_002.dat,522.4,507.21,11493.0,1,3.06
203,002_003.dat,522.39,507.12,11521.0,1,3.05
204,002_004.dat,522.43,507.12,11459.0,1,3.08
205,002_005.dat,522.43,507.13,11528.0,1,3.05
206,002_006.dat,522.39,507.21,11492.0,1,3.08
207,002_007.dat,522.42,507.23,11459.0,1,3.09
208,002_008.dat,522.4,507.12,11440.0,1,3.05
209,002_009.dat,522.34,507.13,11468.0,1,3.06
210,002_010.dat,522.44,507.13,11447.0,1,3.05
211,002_011.dat,522.43,507.13,11466.0,1,3.07
212,002_012.dat,522.45,507.08,11480.0,1,3.05
213,002_013.dat,522.44,507.18,11538.0,1,3.06
214,002_014.dat,522.38,507.17,11486.0,1,3.11
215,002_015.dat,522.44,507.24,11421.0,1,3.1
216,002_016.dat,522.44,507.18,11431.0,1,3.12
217,002_017.dat,522.43,507.12,11520.0,1,3.09
218,002_018.dat,522.45,507.07,11488.0,1,3.08
219,002_019.dat,522.41,507.02,11330.0,1,3.12
220,002_020.dat,522.49,507.11,11523.0,1,3.07
221,002_021.dat,522.42,507.12,11390.0,1,3.08
222,002_022.dat,522.4,507.06,11480.0,1,3.09
223,002_023.dat,522.49,507.05,11408.0,1,3.07
224,002_024.dat,522.49,507.05,11434.0,1,3.09
225,002_025.dat,522.41,507.02,11483.0,1,3.09
226,002_026.dat,522.45,506.91,11388.0,1,3.12
227,002_027.dat,522.36,507.08,11371.0,1,3.06
228,002_028.dat,522.46,507.06,11491.0,1,3.13
229,002_029.dat,522.49,507.05,11356.0,1,3.1
230,002_030.dat,522.45,507.01,11507.0,1,3.1
231,002_031.dat,522.5,507.04,11505.0,1,3.1
232,002_032.dat,522.45,507.06,11437.0,1,3.09
233,002_033.dat,522.51,506.99,11412.0,1,3.11
234,002_034.dat,522.43,507.12,11435.0,1,3.11
235,002_035.dat,522.44,507.06,11467.0,1,3.09
236,002_036.dat,522.49,507.11,11549.0,1,3.08
237,002_037.dat,522.45,507.06,11441.0,1,3.08
238,002_038.dat,522.43,507.11,11440.0,1,3.11
239,002_039.dat,522.44,507.01,11506.0,1,3.09
240,002_040.dat,522.4,507.05,11469.0,1,3.08
241,002_041.dat,522.39,507.09,11490.0,1,3.09
242,002_042.dat,522.41,507.05,11454.0,1,3.1
243,002_043.dat,522.38,506.94,11508.0,1,3.09
244,002_044.dat,521.64,506.57,11466.0,1,3.18
245,002_045.dat,522.1,507.08,11429.0,1,3.17
246,002_046.dat,522.34,507.13,11433.0,1,3.12
247,002_047.dat,522.44,507.17,11534.0,1,3.07
248,002_048.dat,522.39,507.12,11587.0,1,3.04
249,002_049.dat,522.42,506.89,11390.0,3,3.22
250,002_050.dat,523.31,508.76,3043.0,15,4.39
251,002_051.dat,524.35,508.19,1619.0,4,4.55
252,002_052.dat,521.0,504.9,1478.0,4,4.54
253,002_053.dat,520.36,506.65,367.0,2,4.35
254,002_054.dat,521.35,508.92,287.0,2,4.31
255,002_055.dat,521.58,507.8,509.0,3,4.45
256,002_056.dat,518.33,505.71,590.0,2,4.55
257,002_057.dat,523.7,506.26,665.0,4,4.54
258,002_058.dat,524.79,511.15,336.0,5,4.5
259,002_059.dat,522.48,509.29,4059.0,24,4.31
260,002_060.dat,524.43,507.99,5952.0,10,4.28
261,002_061.dat,523.79,508.7,10148.0,8,3.86
262,002_062.dat,522.31,507.09,11561.0,1,3.04
263,002_063.dat,522.37,506.99,11431.0,1,3.01
264,002_064.dat,522.35,507.0,11501.0,1,3.0
265,002_065.dat,522.38,507.05,11553.0,1,3.02
266,002_066.dat,522.36,506.99,11542.0,1,3.01
267,002_067.dat,522.27,507.02,11508.0,1,3.0
268,002_068.dat,522.36,507.08,11513.0,1,2.97
269,002_069.dat,522.33,506.92,11470.0,1,3.0
270,002_070.dat,522.36,506.99,11542.0,1,3.0
271,002_071.dat,522.36,507.01,11545.0,1,3.01
272,002_072.dat,522.4,507.03,11517.0,1,3.0
273,002_073.dat,522.51,506.99,11506.0,1,2.99
274,002_074.dat,522.36,507.02,11458.0,1,3.0
275,002_075.dat,522.37,506.95,11523.0,1,3.02
276,002_076.dat,522.39,507.02,11467.0,1,3.0
277,002_077.dat,522.36,506.99,11591.0,1,3.01
278,002_078.dat,522.36,506.9,11460.0,1,3.03
279,002_079.dat,522.28,506.95,11470.0,1,3.01
280,002_080.dat,522.36,506.94,11491.0,1,3.02
281,002_081.dat,522.39,507.05,11469.0,1,3.01
282,002_082.dat,522.32,506.93,11462.0,1,3.0
283,002_083.dat,522.35,507.0,11528.0,1,3.0
284,002_084.dat,522.35,507.01,11427.0,1,3.06
285,002_085.dat,522.2,506.93,11525.0,1,3.04
286,002_086.dat,521.21,504.71,10930.0,2,3.56
287,002_087.dat,521.39,508.19,4065.0,8,4.42
288,002_088.dat,523.88,505.18,1993.0,8,4.55
289,002_089.dat,522.8,509.12,1379.0,4,4.55
290,002_090.dat,526.71,507.01,744.0,3,4.47
291,002_091.dat,521.24,506.36,1382.0,1,4.55
292,002_092.dat,528.28,505.9,454.0,1,4.43
293,002_093.dat,517.85,508.35,820.0,1,4.49
294,002_094.dat,523.04,507.29,224.0,1,4.3
295,002_095.dat,522.07,508.75,679.0,4,4.57
296,002_096.dat,520.04,506.41,739.0,2,4.58
297,002_097.dat,521.66,506.01,2897.0,8,4.52
298,002_098.dat,519.36,504.23,2090.0,8,4.55
299,002_099.dat,517.53,506.3,1937.0,5,4.55
300,003_000.dat,522.39,507.16,11425.0,1,3.12
301,003_001.dat,522.31,507.23,11489.0,1,3.04
302,003_002.dat,522.26,507.19,11450.0,1,3.03
303,003_003.dat,522.26,507.19,11460.0,1,3.03
304,003_004.dat,522.35,507.3,11624.0,1,3.01
305,003_005.dat,522.34,507.14,11460.0,1,3.02
306,003_006.dat,522.31,507.23,11512.0,1,3.05
307,003_007.dat,522.33,507.17,11497.0,1,2.99
308,003_008.dat,522.29,507.31,11540.0,1,3.0
309,003_009.dat,522.41,507.13,11530.0,1,3.01
310,003_010.dat,522.35,507.1,11539.0,1,3.01
311,003_011.dat,522.32,507.13,11495.0,1,3.0
312,003_012.dat,522.39,507.1,11485.0,1,3.0
313,003_013.dat,522.31,507.12,11469.0,1,3.02
314,003_014.dat,522.35,507.08,11551.0,1,3.04
315,003_015.dat,522.36,507.1,11507.0,1,3.02
316,003_016.dat,522.43,507.13,11488.0,1,3.09
317,003_017.dat,522.39,507.15,11521.0,1,3.02
318,003_018.dat,522.31,507.12,11401.0,1,3.03
319,003_019.dat,522.27,507.13,11495.0,1,3.05
320,003_020.dat,522.3,507.1,11535.0,1,3.03
321,003_021.dat,522.31,507.16,11525.0,1,3.04
322,003_022.dat,522.4,507.11,11483.0,1,3.03
323,003_023.dat,522.36,507.07,11592.0,1,3.0
324,003_024.dat,522.35,507.09,11455.0,1,3.02
325,003_025.dat,522.38,507.1,11517.0,1,3.05
326,003_026.dat,522.44,507.06,11493.0,1,3.05
327,003_027.dat,522.36,507.08,11468.0,1,3.02
328,003_028.dat,522.41,507.09,11498.0,1,3.02
329,003_029.dat,522.44,507.05,11591.0,1,3.03
330,003_030.dat,522.28,507.06,11443.0,1,3.02
331,003_031.dat,522.35,507.09,11481.0,1,3.02
332,003_032.dat,522.39,507.05,11457.0,1,3.05
333,003_033.dat,522.44,507.07,11475.0,1,3.05
334,003_034.dat,522.45,507.07,11515.0,1,3.04
335,003_035.dat,522.4,507.05,11543.0,1,3.05
336,003_036.dat,522.4,507.05,11555.0,1,3.03
337,003_037.dat,522.3,506.87,11426.0,1,3.07
338,003_038.dat,522.06,507.06,11516.0,1,3.05
339,003_039.dat,522.0,506.81,11557.0,1,3.13
340,003_040.dat,521.57,506.3,11361.0,1,3.2
341,003_041.dat,522.16,506.94,11492.0,1,3.12
342,003_042.dat,522.1,506.8,11546.0,1,3.1
343,003_043.dat,520.95,506.07,11262.0,3,3.34
344,003_044.dat,521.22,506.42,10247.0,9,3.81
345,003_045.dat,521.24,507.6,10343.0,5,3.64
346,003_046.dat,522.31,507.28,11424.0,1,3.15
347,003_047.dat,522.44,507.08,11454.0,1,3.06
348,003_048.dat,522.33,507.13,11540.0,1,3.08
349,003_049.dat,522.38,507.05,11464.0,1,3.08
350,003_050.dat,523.18,507.31,11282.0,1,3.31
351,003_051.dat,527.15,507.96,9687.0,4,3.93
352,003_052.dat,523.47,505.09,4129.0,5,4.41
353,003_053.dat,523.88,508.59,591.0,5,4.47
354,003_054.dat,526.53,509.0,855.0,5,4.51
355,003_055.dat,523.4,508.99,360.0,3,4.5
356,003_056.dat,523.11,507.3,297.0,2,4.55
357,003_057.dat,524.94,508.3,3537.0,10,4.48
358,003_058.dat,472.38,516.49,1802.0,21,4.5
359,003_059.dat,519.53,508.52,2246.0,21,4.45
360,003_060.dat,522.84,507.56,7683.0,13,4.17
361,003_061.dat,523.89,508.86,11441.0,6,3.5
362,003_062.dat,522.37,506.98,11490.0,1,3.03
363,003_063.dat,522.23,506.92,11572.0,1,2.99
364,003_064.dat,522.35,506.9,11477.0,1,3.02
365,003_065.dat,522.37,506.98,11528.0,1,3.02
366,003_066.dat,522.38,506.99,11507.0,1,3.05
367,003_067.dat,522.34,506.95,11497.0,1,3.0
368,003_068.dat,522.3,506.87,11501.0,1,3.01
369,003_069.dat,522.35,507.0,11535.0,1,2.99
370,003_070.dat,522.35,506.95,11572.0,1,3.01
371,003_071.dat,522.32,506.91,11501.0,1,2.99
372,003_072.dat,522.31,506.92,11489.0,1,2.99
373,003_073.dat,522.39,507.04,11558.0,1,2.99
374,003_074.dat,522.26,506.96,11432.0,1,3.0
375,003_075.dat,522.4,507.03,11558.0,1,2.99
376,003_076.dat,522.32,506.92,11526.0,1,3.01
377,003_077.dat,522.33,506.92,11515.0,1,3.01
378,003_078.dat,522.32,506.92,11523.0,1,3.01
379,003_079.dat,522.32,506.81,11497.0,1,3.02
380,003_080.dat,522.35,507.0,11427.0,1,3.02
381,003_081.dat,522.34,506.97,11495.0,1,3.03
382,003_082.dat,522.36,507.0,11450.0,1,3.03
383,003_083.dat,522.35,506.9,11509.0,1,3.05
