,DatafileName,Xcenter,Ycenter,MaxInt,Peaks,S
28999,152_119.dat,523.09,506.08,8928.0,5,4.19
29000,152_120.dat,523.11,506.21,10158.0,1,3.83
29001,152_121.dat,522.63,506.06,8821.0,3,4.19
29002,152_122.dat,523.15,506.09,10582.0,1,3.73
29003,152_123.dat,522.85,506.05,10809.0,1,3.58
29004,152_124.dat,523.13,505.93,7039.0,9,4.42
29005,152_125.dat,523.15,506.17,5802.0,10,4.49
29006,152_126.dat,523.53,506.22,3558.0,5,4.65
29007,152_127.dat,522.87,506.01,10798.0,1,3.59
29008,152_128.dat,522.72,505.83,6188.0,5,4.49
29009,152_129.dat,522.95,506.0,10800.0,1,3.64
29010,152_130.dat,522.79,505.94,10749.0,1,3.64
29011,152_131.dat,522.99,505.97,10770.0,1,3.6
29012,152_132.dat,523.51,505.8,9197.0,4,4.08
29013,152_133.dat,522.72,505.99,10877.0,1,3.55
29014,152_134.dat,522.82,505.99,10789.0,1,3.54
29015,152_135.dat,523.03,505.67,10168.0,1,3.85
29016,152_136.dat,523.06,506.45,9648.0,2,4.03
29017,152_137.dat,522.84,505.9,10904.0,1,3.54
29018,152_138.dat,522.84,505.89,10848.0,1,3.59
29019,152_139.dat,522.91,505.92,10779.0,1,3.55
29020,152_140.dat,522.85,505.95,10778.0,2,3.56
29021,152_141.dat,523.18,506.08,5399.0,5,4.57
29022,152_142.dat,523.2,505.68,9546.0,3,4.07
29023,152_143.dat,522.64,506.1,9269.0,2,4.06
29024,152_144.dat,522.85,506.03,9948.0,1,3.9
29025,152_145.dat,522.9,505.83,10679.0,1,3.65
29026,152_146.dat,522.87,506.3,7244.0,7,4.42
29027,152_147.dat,522.86,505.96,10728.0,1,3.6
29028,152_148.dat,522.86,505.94,10819.0,1,3.61
29029,152_149.dat,523.31,506.11,7812.0,6,4.41
29030,152_150.dat,522.99,506.02,6629.0,6,4.48
29031,152_151.dat,523.06,505.87,10431.0,1,3.7
29032,152_152.dat,523.17,505.71,6690.0,8,4.48
29033,152_153.dat,522.93,506.01,10550.0,1,3.71
29034,152_154.dat,522.94,505.87,10760.0,1,3.61
29035,152_155.dat,522.89,505.67,5215.0,7,4.57
29036,152_156.dat,522.94,505.68,10354.0,1,3.74
29037,152_157.dat,522.79,505.59,9360.0,4,4.11
29038,152_158.dat,523.07,506.16,6432.0,8,4.37
29039,152_159.dat,522.59,505.96,10280.0,2,3.79
29040,152_160.dat,522.8,505.58,10072.0,2,3.94
29041,152_161.dat,522.77,505.75,10774.0,1,3.55
29042,152_162.dat,522.91,505.8,10781.0,1,3.61
29043,152_163.dat,522.66,505.72,9068.0,2,4.08
29044,152_164.dat,522.95,505.3,5285.0,8,4.57
29045,152_165.dat,522.89,505.83,10752.0,1,3.61
